word,stem_group,type
맺혀하다,145,-어 하다
머쓱하다,146,원형
머쓱해지다,146,지다
머쓱해하다,146,-어 하다
멋쩍다,147,원형
멋쩍어지다,147,지다
멋쩍어하다,147,-어 하다
모멸스럽다,148,원형
모멸스러워지다,148,지다
모멸스러워하다,148,-어 하다
모멸하다,149,원형
모멸당하다,149,-어 하다
모욕스럽다,150,원형
모욕스러워지다,150,지다
모욕스러워하다,150,-어 하다
모욕하다,151,원형
모욕받다,151,-어 하다
모욕당하다,151,명사+기타
못마땅하다,152,원형
못마땅해지다,152,지다
못마땅해하다,152,-어 하다
무료하다,153,원형
무료해지다,153,지다
무료해하다,153,-어 하다
무상하다,154,원형
무상해지다,154,지다
무상해하다,154,-어 하다
무색하다,155,원형
무색해지다,155,지다
무색해하다,155,-어 하다
무섭다,156,원형
무서워지다,156,지다
무서워하다,156,-어 하다
무시무시하다,157,원형
무시무시해지다,157,지다
무시무시해하다,157,-어 하다
무안스럽다,158,원형
무안스러워지다,158,지다
무안스러워하다,158,-어 하다
무안하다,159,원형
무안해지다,159,지다
무안해하다,159,-어 하다
무정하다,160,원형
무정해지다,160,지다
무정해하다,160,-어 하다
물리다,161,원형
물려하다,161,-어 하다
뭉클하다,162,원형
뭉클해지다,162,지다
뭉클해하다,162,-어 하다
미덥다,163,원형
미더워지다,163,지다
미더워하다,163,-어 하다
미쁘다,164,원형
미뻐지다,164,지다
미뻐하다,164,-어 하다
미안스럽다,165,원형
미안스러워지다,165,지다
미안스러워하다,165,-어 하다
미안하다,166,원형
미안해지다,166,지다
미안해하다,166,-어 하다
민망스럽다,167,원형
민망스러워지다,167,지다
민망스러워하다,167,-어 하다
민망하다,168,원형
민망해지다,168,지다
민망해하다,168,-어 하다
믿다,169,원형
믿어지다,169,지다
믿어하다,169,-어 하다
믿음직스럽다,170,원형
믿음직스러워지다,170,지다
믿음직스러워하다,170,-어 하다
밉다,171,원형
미워지다,171,지다
미워하다,171,-어 하다
밉살스럽다,172,원형
밉살스러워지다,172,지다
밉살스러워하다,172,-어 하다
반갑다,173,원형
반가워지다,173,지다
반가워하다,173,-어 하다
반하다,174,원형
반항하다,175,원형
발끈하다,176,원형
발끈해지다,176,지다
발끈해하다,176,-어 하다
벅차다,177,원형
벅차하다,177,-어 하다
벅차오르다,177,명사+기타
번민하다,178,원형
보람차다,179,원형
보람차하다,179,-어 하다
보람되다,179,명사+기타
부끄럽다,180,원형
부끄러워지다,180,지다
부끄러워하다,180,-어 하다
부럽다,181,원형
부러워지다,181,지다
부러워하다,181,-어 하다
부아나지다,182,지다
부아나하다,182,-어 하다
부아나다,182,명사+기타
부아내다,182,명사+기타
분개하다,183,원형
분개해하다,183,-어 하다
분개되다,183,명사+기타
분노하다,184,원형
분노해하다,184,-어 하다
분노되다,184,명사+기타
분통터지다,185,원형
분통터져하다,185,-어 하다
분하다,186,원형
분해지다,186,지다
분해하다,186,-어 하다
불만족스럽다,187,원형
불만족스러워지다,187,지다
불만족스러워하다,187,-어 하다
불만족하다,188,원형
불만족해하다,188,-어 하다
불쌍하다,189,원형
불쌍해지다,189,지다
불쌍해하다,189,-어 하다
불안스럽다,190,원형
불안스러워지다,190,지다
불안스러워하다,190,-어 하다
불안하다,191,원형
불안해지다,191,지다
불안해하다,191,-어 하다
불쾌스럽다,192,원형
불쾌스러워지다,192,지다
불쾌스러워하다,192,-어 하다
불쾌하다,193,원형
불쾌해지다,193,지다
불쾌해하다,193,-어 하다
불편스럽다,194,원형
불편스러워지다,194,지다
불편하다,195,원형
불편해지다,195,지다
불편해하다,195,-어 하다
불평하다,196,원형
비련하다,197,원형
비련해지다,197,지다
비분강개하다,198,원형
비분강개해지다,198,지다
비분강개해하다,198,-어 하다
비아냥거려지다,199,지다
비아냥거려하다,199,-어 하다
비아냥거리다,199,명사+기타
비위돌려하다,200,-어 하다
비위돌리다,200,명사+기타
비장하다,201,원형
비장해지다,201,지다
비장해하다,201,-어 하다
비참하다,202,원형
비참해지다,202,지다
비참해하다,202,-어 하다
비탄하다,203,원형
비탄해지다,203,지다
비탄해하다,203,-어 하다
비통하다,204,원형
비통해지다,204,지다
비통해하다,204,-어 하다
뼈아프다,205,원형
뼈아파지다,205,지다
뼈아파하다,205,-어 하다
뾰로통하다,206,원형
뾰로통해지다,206,지다
뾰로통해하다,206,-어 하다
뿌듯하다,207,원형
뿌듯해지다,207,지다
뿌듯해하다,207,-어 하다
사랑스럽다,208,원형
사랑스러워지다,208,지다
사랑스러워하다,208,-어 하다
사랑하다,209,원형
사랑받다,209,명사+기타
사모하다,210,원형
삭막하다,211,원형
삭막해지다,211,지다
삭막해하다,211,-어 하다
삭연하다,212,원형
삭연해지다,212,지다
살맛나다,213,원형
살맛나지다,213,지다
살맛나하다,213,-어 하다
상심하다,214,원형
상심해지다,214,지다
상심해하다,214,-어 하다
상심되다,214,명사+기타
상쾌하다,215,원형
상쾌해지다,215,지다
상쾌해하다,215,-어 하다
샐쭉하다,216,원형
샐쭉해지다,216,지다
샘나다,217,원형
샘내다,217,명사+기타
서글프다,218,원형
서글퍼지다,218,지다
서글퍼하다,218,-어 하다
서럽다,219,원형
서러워지다,219,지다
서러워하다,219,-어 하다
서먹서먹하다,220,원형
서먹서먹해지다,220,지다
서먹서먹해하다,220,-어 하다
서먹하다,221,원형
서먹해지다,221,지다
서먹해하다,221,-어 하다
서운하다,222,원형
서운해지다,222,지다
서운해하다,222,-어 하다
설레이다,223,원형
설레여하다,223,-어 하다
섬뜩하다,224,원형
섬뜩해지다,224,지다
섬뜩해하다,224,-어 하다
섭섭하다,225,원형
섭섭해지다,225,지다
섭섭해하다,225,-어 하다
섭하다,226,원형
섭해지다,226,지다
섭해하다,226,-어 하다
성가시다,227,원형
성가셔지다,227,지다
성가셔하다,227,-어 하다
성나다,228,원형
성내다,228,명사+기타
성질나다,229,원형
성질내다,229,명사+기타
소름끼쳐하다,230,-어 하다
소름끼치다,230,명사+기타
